x=-9.02344, y=1.21094, f1=1
x=-8.94531, y=1.13281, f1=1
x=-8.94531, y=1.21094, f1=1
x=-8.86719, y=0.976562, f1=1
x=-8.86719, y=1.05469, f1=1
x=-8.78906, y=0.976562, f1=1
x=-8.78906, y=1.05469, f1=1
x=-8.86719, y=1.13281, f1=1
x=-8.86719, y=1.21094, f1=1
x=-8.78906, y=1.13281, f1=1
x=-8.78906, y=1.21094, f1=1
x=-9.96094, y=1.28906, f1=1
x=-9.96094, y=1.36719, f1=1
x=-9.88281, y=1.28906, f1=1
x=-9.88281, y=1.36719, f1=1
x=-9.96094, y=1.44531, f1=1
x=-9.96094, y=1.52344, f1=1
x=-9.88281, y=1.44531, f1=1
x=-9.88281, y=1.52344, f1=1
x=-9.80469, y=1.28906, f1=1
x=-9.80469, y=1.36719, f1=1
x=-9.72656, y=1.28906, f1=1
x=-9.72656, y=1.36719, f1=1
x=-0.195312, y=18.2422, f1=1
x=-0.273438, y=18.3203, f1=1
x=-0.273438, y=18.3984, f1=1
x=-0.195312, y=18.3203, f1=1
x=-0.195312, y=18.3984, f1=1
x=-0.117188, y=18.1641, f1=1
x=-0.117188, y=18.2422, f1=1
x=-0.0390625, y=18.1641, f1=1
x=-0.0390625, y=18.2422, f1=1
x=-0.117188, y=18.3203, f1=1
x=-0.117188, y=18.3984, f1=1
x=-0.0390625, y=18.3203, f1=1
x=-0.0390625, y=18.3984, f1=1
x=-0.273438, y=18.4766, f1=1
x=-0.273438, y=18.5547, f1=1
x=-0.195312, y=18.4766, f1=1
x=-0.195312, y=18.5547, f1=1
x=-0.273438, y=18.6328, f1=1
x=-0.273438, y=18.7109, f1=1
x=-0.195312, y=18.6328, f1=1
x=-0.195312, y=18.7109, f1=1
x=-0.117188, y=18.4766, f1=1
x=-0.117188, y=18.5547, f1=1
x=-0.0390625, y=18.4766, f1=1
x=-0.0390625, y=18.5547, f1=1
x=-0.117188, y=18.6328, f1=1
x=-0.117188, y=18.7109, f1=1
x=-0.0390625, y=18.6328, f1=1
x=-0.0390625, y=18.7109, f1=1
x=-1.21094, y=18.7891, f1=1
x=-1.21094, y=18.8672, f1=1
x=-1.13281, y=18.7891, f1=1
x=-1.13281, y=18.8672, f1=1
x=-1.21094, y=18.9453, f1=1
x=-1.21094, y=19.0234, f1=1
x=-1.13281, y=18.9453, f1=1
x=-1.13281, y=19.0234, f1=1
x=-9.80469, y=1.44531, f1=1
x=-9.80469, y=1.52344, f1=1
x=-9.72656, y=1.44531, f1=1
x=-9.72656, y=1.52344, f1=1
x=-9.96094, y=1.60156, f1=1
x=-9.96094, y=1.67969, f1=1
x=-9.88281, y=1.60156, f1=1
x=-9.88281, y=1.67969, f1=1
x=-9.96094, y=1.75781, f1=1
x=-1.05469, y=18.7891, f1=1
x=-9.96094, y=1.83594, f1=1
x=-9.88281, y=1.75781, f1=1
x=-9.88281, y=1.83594, f1=1
x=-9.80469, y=1.60156, f1=1
x=-1.05469, y=18.8672, f1=1
x=-0.976562, y=18.7891, f1=1
x=-0.976562, y=18.8672, f1=1
x=-1.05469, y=18.9453, f1=1
x=-1.05469, y=19.0234, f1=1
x=-0.976562, y=18.9453, f1=1
x=-0.976562, y=19.0234, f1=1
x=-1.21094, y=19.1016, f1=1
x=-1.21094, y=19.1797, f1=1
x=-9.80469, y=1.67969, f1=1
x=-9.72656, y=1.60156, f1=1
x=-9.72656, y=1.67969, f1=1
x=-9.80469, y=1.75781, f1=1
x=-9.80469, y=1.83594, f1=1
x=-9.72656, y=1.75781, f1=1
x=-9.72656, y=1.83594, f1=1
x=-9.64844, y=1.28906, f1=1
x=-9.64844, y=1.36719, f1=1
x=-9.57031, y=1.28906, f1=1
x=-9.57031, y=1.36719, f1=1
x=-9.64844, y=1.44531, f1=1
x=-9.64844, y=1.52344, f1=1
x=-9.57031, y=1.44531, f1=1
x=-9.57031, y=1.52344, f1=1
x=-9.49219, y=1.28906, f1=1
x=-9.49219, y=1.36719, f1=1
x=-9.41406, y=1.28906, f1=1
x=-9.41406, y=1.36719, f1=1
x=-9.49219, y=1.44531, f1=1
x=-9.49219, y=1.52344, f1=1
x=-9.41406, y=1.44531, f1=1
x=-9.41406, y=1.52344, f1=1
x=-9.64844, y=1.60156, f1=1
x=-9.64844, y=1.67969, f1=1
x=-9.57031, y=1.60156, f1=1
x=-9.57031, y=1.67969, f1=1
x=-9.64844, y=1.75781, f1=1
x=-9.64844, y=1.83594, f1=1
x=-9.57031, y=1.75781, f1=1
x=-9.57031, y=1.83594, f1=1
x=-9.49219, y=1.60156, f1=1
x=-9.49219, y=1.67969, f1=1
x=-9.41406, y=1.60156, f1=1
x=-9.41406, y=1.67969, f1=1
x=-9.49219, y=1.75781, f1=1
x=-9.49219, y=1.83594, f1=1
x=-9.41406, y=1.75781, f1=1
x=-9.41406, y=1.83594, f1=1
x=-9.96094, y=1.91406, f1=1
x=-9.96094, y=1.99219, f1=1
x=-1.13281, y=19.1016, f1=1
x=-1.13281, y=19.1797, f1=1
x=-1.21094, y=19.2578, f1=1
x=-1.21094, y=19.3359, f1=1
x=-1.13281, y=19.2578, f1=1
x=-1.13281, y=19.3359, f1=1
x=-1.05469, y=19.1016, f1=1
x=-9.88281, y=1.91406, f1=1
x=-9.88281, y=1.99219, f1=1
x=-9.96094, y=2.07031, f1=1
x=-9.96094, y=2.14844, f1=1
x=-9.88281, y=2.07031, f1=1
x=-9.88281, y=2.14844, f1=1
x=-9.80469, y=1.91406, f1=1
x=-9.80469, y=1.99219, f1=1
x=-9.72656, y=1.91406, f1=1
x=-9.72656, y=1.99219, f1=1
x=-9.80469, y=2.07031, f1=1
x=-9.80469, y=2.14844, f1=1
x=-9.72656, y=2.07031, f1=1
x=-9.72656, y=2.14844, f1=1
x=-9.96094, y=2.22656, f1=1
x=-9.96094, y=2.30469, f1=1
x=-9.88281, y=2.22656, f1=1
x=-9.88281, y=2.30469, f1=1
x=-9.96094, y=2.38281, f1=1
x=-9.96094, y=2.46094, f1=1
x=-9.88281, y=2.38281, f1=1
x=-9.88281, y=2.46094, f1=1
x=-9.80469, y=2.22656, f1=1
x=-9.80469, y=2.30469, f1=1
x=-9.72656, y=2.22656, f1=1
x=-9.72656, y=2.30469, f1=1
x=-9.80469, y=2.38281, f1=1
x=-9.80469, y=2.46094, f1=1
x=-9.72656, y=2.38281, f1=1
x=-9.72656, y=2.46094, f1=1
x=-9.64844, y=1.91406, f1=1
x=-9.64844, y=1.99219, f1=1
x=-9.57031, y=1.91406, f1=1
x=-9.57031, y=1.99219, f1=1
x=-9.64844, y=2.07031, f1=1
x=-9.64844, y=2.14844, f1=1
x=-9.57031, y=2.07031, f1=1
x=-9.57031, y=2.14844, f1=1
x=-9.49219, y=1.91406, f1=1
x=-9.49219, y=1.99219, f1=1
x=-9.41406, y=1.91406, f1=1
x=-9.41406, y=1.99219, f1=1
x=-9.49219, y=2.07031, f1=1
x=-9.49219, y=2.14844, f1=1
x=-9.41406, y=2.07031, f1=1
x=-9.41406, y=2.14844, f1=1
x=-9.64844, y=2.22656, f1=1
x=-9.64844, y=2.30469, f1=1
x=-9.57031, y=2.22656, f1=1
x=-9.57031, y=2.30469, f1=1
x=-9.64844, y=2.38281, f1=1
x=-9.64844, y=2.46094, f1=1
x=-9.57031, y=2.38281, f1=1
x=-9.57031, y=2.46094, f1=1
x=-9.49219, y=2.22656, f1=1
x=-9.49219, y=2.30469, f1=1
x=-9.41406, y=2.22656, f1=1
x=-9.41406, y=2.30469, f1=1
x=-9.49219, y=2.38281, f1=1
x=-9.49219, y=2.46094, f1=1
x=-9.41406, y=2.38281, f1=1
x=-9.41406, y=2.46094, f1=1
x=-9.33594, y=1.28906, f1=1
x=-9.33594, y=1.36719, f1=1
x=-9.25781, y=1.28906, f1=1
x=-9.25781, y=1.36719, f1=1
x=-9.33594, y=1.44531, f1=1
x=-9.33594, y=1.52344, f1=1
x=-9.25781, y=1.44531, f1=1
x=-9.25781, y=1.52344, f1=1
